Purchase Frequency,Total Purchase Value,Promotional Content Clicked,Discount Sensitivity,Average Cart Size,Preferred Product Category,Session Duration,Returns Frequency,Loyalty Program Member,Monthly Income,Customer Review Count,Customer Sentiment,Average Product Price,Cart Abandonment Rate,Last Purchase Recency,Preferred Brands,Purchase Likelihood
1,6495.820512,No,0.1,6,Electronics,16.80859155,4,No,<50k,14,Positive,1000.907265,0.62,123,Brand B,0
0,2854.513949,No,0.5,9,Clothing,19.72367527,3,Yes,>=50k,40,Positive,1441.993241,0.31,141,Mixed,1
11,5478.493728,No,0.69,4,Electronics,9.522650225,3,Yes,>=50k,1,Positive,856.8392313,0.26,76,Brand C,1
11,9148.165339,No,0.33,6,Clothing,18.0536903,0,No,>=50k,5,Positive,756.2419692,0.48,74,Brand A,1
16,3161.230817,Yes,0.7,1,Electronics,5,3,Yes,<50k,13,Neutral,504.7071897,0.66,101,Brand A,1
9,500,Yes,0.7,2,Groceries,11.30253123,2,No,>=50k,40,Positive,1154.275578,0.04,38,Brand A,0
15,4427.991556,No,0.7,8,Electronics,19.30138712,4,No,>=50k,28,Negative,472.0246544,0.29,142,Brand A,0
14,7201.91927,No,0.49,4,Groceries,9.043946876,2,No,>=50k,41,Negative,646.2048683,0.79,72,Brand A,0
14,8916.694908,No,0.91,7,Clothing,9.482084447,3,No,<50k,25,Neutral,2052.020462,0.48,130,Brand C,0
18,2540.900811,Yes,0.49,4,Home Decor,12.37288488,0,No,<50k,17,Negative,1336.944837,0.95,4,Brand C,0
11,5993.398446,No,0.45,9,Electronics,15.88496105,0,Yes,<50k,46,Negative,1201.772429,0.87,91,Brand B,1
19,4069.379086,No,0.2,9,Home Decor,9.423725371,2,Yes,>=50k,3,Neutral,639.7409564,0.34,169,Brand C,1
2,4788.103291,Yes,0.31,4,Clothing,14.83858151,3,Yes,<50k,36,Positive,1385.669666,0.73,142,Brand A,1
4,10288.68669,Yes,0.04,8,Clothing,12.83910745,4,Yes,<50k,37,Neutral,491.6284779,0.27,2,Brand B,1
18,1994.059343,Yes,0.63,6,Home Decor,20.78966,3,Yes,<50k,24,Neutral,237.3765776,0.18,162,Brand C,1
6,5507.479323,Yes,0.25,1,Clothing,12.58109621,3,No,<50k,46,Positive,723.6970418,0.88,134,Brand B,1
8,5935.386344,Yes,0.3,7,Clothing,15.14169742,0,No,>=50k,28,Neutral,410.1467359,0.35,93,Brand B,0
6,7171.57265,Yes,0.77,1,Electronics,15.83168558,1,No,>=50k,33,Neutral,1232.544033,0.2,151,Brand A,0
17,5195.966307,Yes,0.33,3,Electronics,12.90131354,4,Yes,>=50k,15,Neutral,1182.958482,0.96,158,Brand B,1
3,5616.101079,No,0.24,8,Clothing,18.84850657,4,Yes,<50k,36,Positive,1114.061688,0.03,77,Mixed,0
13,4216.702865,No,0.17,9,Electronics,19.88806789,0,No,<50k,29,Neutral,1291.821203,0.37,79,Brand B,1
17,5538.253882,No,0.77,3,Electronics,12.5551722,3,No,<50k,22,Positive,1270.049827,0.04,114,Brand A,1
8,4313.615449,Yes,0.13,1,Electronics,16.46560153,0,No,<50k,35,Positive,661.5332755,0.5,3,Mixed,1
1,6243.14378,Yes,0.45,1,Electronics,10.3623553,3,No,<50k,27,Neutral,1239.97274,0.4,130,Brand A,1
19,4260.779328,No,0.51,7,Clothing,17.8190085,1,No,>=50k,0,Neutral,1156.879887,0.72,127,Brand B,0
14,5754.200788,Yes,0.69,5,Clothing,16.16411531,1,No,>=50k,7,Negative,691.9824637,0.95,8,Brand A,1
6,4941.474373,No,0.63,1,Groceries,13.18029678,2,Yes,<50k,41,Negative,821.1448249,0.52,67,Mixed,1
11,7252.100502,No,0.81,6,Clothing,16.64966202,3,Yes,<50k,14,Neutral,1426.171081,0.29,117,Brand C,1
7,4897.212553,Yes,0.04,6,Groceries,17.96427833,0,No,<50k,33,Neutral,342.2911632,0.87,87,Brand B,1
14,1453.935064,No,0.3,4,Home Decor,21.15193907,0,Yes,<50k,18,Positive,1166.740523,0.6,138,Brand C,0
2,7523.843001,Yes,0.28,7,Groceries,16.98741088,0,No,>=50k,43,Positive,945.8366284,0.55,163,Brand B,1
13,3188.535398,Yes,0.15,7,Groceries,19.44205183,2,Yes,>=50k,29,Neutral,985.940055,0.19,124,Brand A,1
16,3692.467323,No,0.29,9,Home Decor,24.52427681,4,Yes,<50k,9,Positive,858.0972207,0.04,71,Brand C,1
3,3808.677412,Yes,0.31,1,Clothing,9.8301713,0,Yes,<50k,43,Positive,1210.573061,0.46,129,Brand B,1
17,7748.876186,No,0.52,5,Electronics,20.85661232,1,Yes,<50k,26,Negative,211.5654415,0.53,49,Brand C,0
7,728.651572,Yes,0.66,3,Electronics,10.60425698,0,No,<50k,19,Negative,1126.061387,0.13,2,Brand A,0
3,11275.49707,Yes,0.38,7,Groceries,11.43274746,0,Yes,>=50k,24,Positive,475.679871,0.06,66,Brand A,1
1,7112.113618,Yes,0.72,4,Groceries,14.94100164,0,No,>=50k,8,Neutral,1515.809631,0.22,84,Brand B,1
5,5446.477828,No,0.34,4,Home Decor,11.76984584,4,Yes,<50k,39,Positive,353.5764302,0.06,114,Brand B,1
9,4890.211999,Yes,0.29,1,Groceries,10.9338398,0,Yes,>=50k,33,Positive,100,0.06,61,Brand A,1
3,5571.10815,Yes,0.54,1,Groceries,14.69797631,4,Yes,<50k,20,Positive,150.8651747,0.44,13,Brand A,1
17,6042.244857,No,0.02,2,Clothing,13.33375509,4,No,<50k,23,Positive,971.7127118,0.81,121,Brand C,0
11,6290.431172,Yes,0.08,2,Home Decor,11.67348639,2,Yes,<50k,6,Negative,223.5313257,0.66,22,Brand A,0
1,6111.208932,No,0.42,1,Clothing,10.23691975,1,No,<50k,3,Positive,346.7584717,0.68,122,Brand B,1
9,5179.161363,Yes,0.94,8,Clothing,22.12574646,0,Yes,<50k,7,Neutral,651.1449266,0.26,76,Brand B,1
3,4605.323159,No,0.72,6,Electronics,8.998998528,0,Yes,<50k,12,Neutral,1264.446685,0.01,15,Brand B,1
13,4697.453433,No,0.09,6,Clothing,14.16160217,0,No,>=50k,20,Positive,616.2668366,0.45,145,Mixed,1
15,4610.183439,Yes,0.85,9,Home Decor,20.58961341,4,No,>=50k,34,Positive,895.0436949,0.38,12,Brand A,1
14,7267.540194,Yes,0.73,5,Clothing,19.0477365,3,No,<50k,4,Positive,886.8439468,0.95,124,Mixed,1
7,6187.113445,No,0.61,4,Groceries,16.16857474,1,Yes,>=50k,7,Negative,277.2828202,0.07,55,Brand C,1
13,500,Yes,0.82,6,Clothing,11.8817903,0,Yes,<50k,1,Positive,1203.345064,0.78,172,Brand B,0
7,6311.801553,No,0.4,8,Electronics,14.90622967,3,Yes,<50k,23,Neutral,2125.761196,0.39,39,Mixed,1
15,5389.472389,Yes,0.22,1,Groceries,9.379648172,3,No,>=50k,41,Positive,135.7767142,0.83,102,Brand C,1
12,4962.582487,Yes,0.51,7,Home Decor,13.57432692,3,Yes,>=50k,15,Neutral,558.6978445,0.49,158,Mixed,1
17,4222.963094,Yes,0.55,8,Electronics,13.49866095,1,No,>=50k,3,Negative,363.7114782,0.82,103,Brand B,1
14,7248.22544,No,0.54,9,Clothing,13.98148459,3,Yes,<50k,29,Neutral,900.9191006,0.47,31,Brand B,1
12,6895.052924,Yes,0.57,8,Clothing,11.05995066,0,No,<50k,45,Negative,274.4763717,0.4,128,Brand B,0
8,3454.244664,No,0.95,7,Groceries,6.520594521,0,Yes,<50k,29,Negative,1626.49214,0.96,34,Brand A,1
14,5814.104574,No,0.9,3,Home Decor,21.25926627,2,Yes,>=50k,34,Negative,1706.874171,0.37,35,Mixed,0
12,3056.686531,Yes,0.88,2,Electronics,20.14884799,4,Yes,>=50k,41,Neutral,1346.109377,0.81,91,Brand C,1
0,2240.76367,Yes,0.8,3,Clothing,19.37327153,3,Yes,>=50k,12,Negative,1467.887787,0.07,65,Brand C,1
6,3746.565551,No,0.94,4,Groceries,16.89209629,4,No,<50k,36,Neutral,1057.673134,0.06,28,Mixed,0
8,6724.786945,Yes,0.1,4,Home Decor,15.85181284,4,No,>=50k,48,Positive,1539.883869,0.44,170,Mixed,1
0,6906.250091,No,0.27,6,Groceries,11.53157305,4,No,>=50k,48,Positive,848.2797321,0.59,156,Brand A,1
11,6026.17084,Yes,0.5,7,Electronics,12.06586848,4,Yes,>=50k,10,Positive,731.7681013,0.61,42,Brand C,1
7,6450.191574,Yes,0.85,4,Groceries,22.27677735,4,No,<50k,18,Neutral,1332.004157,0.04,18,Brand B,1
10,6032.356574,No,0.51,6,Home Decor,23.41453672,0,Yes,<50k,17,Positive,807.2854386,0.7,120,Brand B,1
18,3717.03681,Yes,0.75,9,Home Decor,14.076233,1,No,<50k,16,Neutral,2069.084775,0.13,97,Mixed,0
16,5863.845089,Yes,0.14,6,Clothing,15.01882088,3,Yes,<50k,10,Positive,1527.036351,0.96,30,Mixed,0
7,6600.81905,Yes,0.25,3,Groceries,18.66160778,3,Yes,<50k,14,Positive,721.249722,0.33,100,Brand C,0
2,6508.58266,Yes,0.73,1,Home Decor,15.46733281,0,No,>=50k,7,Positive,915.7229257,0.26,18,Brand B,1
2,7377.826743,Yes,0.16,5,Groceries,15.84517277,0,Yes,>=50k,43,Positive,929.6427913,0.29,28,Brand C,1
0,6416.607694,No,0.35,3,Clothing,14.70100369,4,No,<50k,28,Negative,624.6508518,0.94,72,Brand B,1
4,5702.896415,Yes,0.26,8,Electronics,10.31082048,1,Yes,>=50k,16,Positive,1444.240908,0.48,134,Brand A,0
9,7140.300477,Yes,0.35,1,Clothing,13.1349381,3,No,>=50k,25,Positive,563.6325899,0.43,75,Brand B,0
6,4946.957482,No,0.71,2,Clothing,14.33166878,2,No,>=50k,4,Neutral,953.2909019,0.57,178,Brand A,1
8,3236.250698,Yes,0.37,3,Clothing,5,0,No,>=50k,3,Positive,614.7893743,0.93,81,Brand B,1
6,4673.866072,Yes,0.56,3,Clothing,15.4375663,2,No,>=50k,23,Positive,726.4621982,0.31,49,Brand C,1
8,3510.19471,No,0.1,8,Clothing,26.6128294,3,Yes,<50k,10,Neutral,1384.345982,0.18,148,Brand A,1
7,3649.64345,No,0.81,5,Groceries,12.85315461,0,Yes,>=50k,29,Positive,1339.053126,0.6,136,Brand C,1
11,4710.962659,Yes,0.37,8,Electronics,15.16563092,3,Yes,>=50k,39,Positive,825.159047,0.49,161,Brand A,0
1,3415.160158,No,0.65,6,Clothing,10.79757014,0,Yes,>=50k,47,Positive,1568.586419,0.06,33,Brand B,0
0,4384.076941,Yes,0.73,2,Groceries,9.53050355,3,No,<50k,47,Positive,1286.484829,0.52,46,Brand B,1
15,1212.770666,No,0.21,4,Clothing,13.44954142,2,Yes,<50k,34,Positive,1058.607031,0.56,23,Brand C,1
4,5426.587415,Yes,0.88,9,Clothing,18.14896607,1,No,>=50k,43,Positive,1454.109162,0.69,79,Brand C,1
2,5002.410951,Yes,0.62,4,Clothing,13.8312329,0,No,<50k,44,Positive,1709.467343,1,27,Brand B,1
11,3365.822738,Yes,0.43,5,Clothing,13.12961371,2,Yes,>=50k,32,Positive,1220.016483,0.42,173,Brand A,0
7,6318.491337,Yes,0.18,5,Electronics,17.47797857,3,No,<50k,35,Positive,1136.523558,0.51,50,Brand C,0
2,6875.140275,Yes,0.94,8,Clothing,16.00048559,2,No,<50k,20,Positive,100,0.08,110,Brand B,0
0,1784.880271,No,0.76,6,Groceries,16.3963692,0,Yes,<50k,37,Positive,1131.163352,0.83,5,Brand B,1
2,3474.550443,Yes,0.21,7,Clothing,20.95147221,2,Yes,<50k,4,Positive,1232.498378,0.1,117,Brand A,0
4,3461.7153,Yes,0.34,6,Electronics,20.32317115,3,Yes,>=50k,4,Negative,1157.212666,0.93,52,Brand A,1
14,3120.193798,Yes,0.81,5,Home Decor,22.47870014,4,No,<50k,20,Neutral,549.4542795,0.35,179,Brand A,1
13,6658.949684,Yes,0.7,5,Clothing,8.935841945,1,Yes,>=50k,24,Neutral,656.6346392,0.34,59,Brand B,0
2,4612.347722,No,0.77,3,Electronics,19.28627716,1,No,<50k,9,Neutral,1361.221943,0.33,168,Brand B,1
0,4470.970317,Yes,0.44,7,Groceries,23.22911467,4,Yes,>=50k,18,Negative,805.9744505,0.95,10,Brand B,1
4,992.2752712,Yes,0.72,5,Electronics,6.836719967,0,No,<50k,31,Negative,1088.785209,0.98,3,Brand B,1
13,6270.83606,Yes,0.39,7,Groceries,14.89952802,2,No,>=50k,17,Positive,100,0.97,13,Mixed,1
6,2521.48321,No,0.21,2,Clothing,12.28366328,2,No,>=50k,33,Positive,992.1800391,0.7,140,Brand B,1
8,5119.865261,Yes,0.63,9,Home Decor,14.87832367,4,Yes,<50k,47,Positive,1403.148404,0.11,142,Brand B,0
14,5554.753876,Yes,0.98,8,Clothing,20.73489141,4,Yes,<50k,14,Positive,1151.040951,0.39,112,Brand A,1
14,7721.317192,Yes,0.31,5,Electronics,8.02132247,3,Yes,>=50k,23,Neutral,930.3658285,0.29,7,Brand B,1
9,2382.359202,Yes,0.46,2,Home Decor,16.22493858,3,Yes,>=50k,4,Neutral,475.1982761,0.71,87,Brand C,1
12,500,Yes,0.67,6,Groceries,12.17692272,1,Yes,<50k,31,Positive,103.7038026,0.49,10,Brand B,1
18,5367.69909,No,0.54,8,Home Decor,20.88820809,0,No,>=50k,8,Negative,609.3119247,0.62,111,Mixed,1
6,8601.022363,No,0.84,7,Home Decor,17.10467211,0,No,<50k,4,Positive,1520.031513,0.01,98,Brand C,1
16,7477.892706,No,0.76,8,Groceries,14.21126696,4,Yes,<50k,4,Negative,972.9100723,0.78,22,Mixed,1
19,5419.318831,Yes,0.06,4,Electronics,11.40941515,1,No,<50k,40,Negative,1345.341624,0.95,108,Brand A,0
3,4016.727629,Yes,1,3,Electronics,28.28960947,1,Yes,>=50k,40,Positive,1717.298231,0.67,6,Brand B,1
4,6614.245193,Yes,0.75,7,Electronics,16.3994428,3,Yes,<50k,33,Negative,1062.142411,0.85,68,Brand B,1
6,3052.907601,No,0.86,2,Home Decor,7.90022764,2,No,>=50k,6,Negative,1422.795373,0.48,159,Brand C,0
12,5952.715539,Yes,0.65,5,Groceries,10.94628955,0,No,>=50k,25,Negative,1567.61166,0.02,171,Brand B,1
14,6010.940318,No,0.86,7,Home Decor,17.06307645,1,Yes,<50k,0,Positive,300.3684186,0.99,130,Brand C,1
10,7120.419815,Yes,0.11,1,Groceries,11.34986863,3,No,>=50k,33,Neutral,619.0964094,0.06,93,Brand B,1
3,10519.32008,Yes,0.35,4,Home Decor,11.9649595,3,No,>=50k,25,Neutral,158.0160757,0.19,121,Brand A,1
12,5784.831934,Yes,0.88,2,Clothing,19.92962909,3,Yes,<50k,31,Negative,100,0.05,43,Brand A,1
6,3982.072749,Yes,0.2,6,Electronics,19.48704818,2,Yes,<50k,11,Positive,750.6744282,0.62,50,Brand A,1
18,4948.851376,No,0.08,1,Groceries,12.14396468,1,No,<50k,5,Positive,872.2443475,0.58,60,Brand A,1
1,1461.84819,No,0.79,7,Electronics,20.85427599,4,No,>=50k,19,Neutral,100,0.21,50,Brand A,1
9,3610.573738,Yes,0.84,3,Clothing,11.4469224,4,Yes,>=50k,18,Positive,1227.283589,0.96,160,Brand A,1
12,4181.435124,Yes,0.16,1,Clothing,23.46770576,3,Yes,<50k,15,Positive,756.7938175,0.91,19,Brand C,1
5,3951.823204,No,0.85,8,Electronics,17.68772901,3,No,<50k,3,Positive,1717.534314,0.28,29,Brand B,0
11,5304.709744,No,0.69,7,Home Decor,16.45090859,2,No,>=50k,31,Positive,1091.893948,0.66,120,Brand A,1
11,3355.160135,Yes,0.52,2,Electronics,13.07598333,3,No,<50k,17,Positive,1088.218257,0.86,43,Brand B,1
19,7242.061335,Yes,0.83,7,Groceries,11.95674148,1,Yes,>=50k,4,Positive,897.6383316,0.36,85,Mixed,1
10,5000.41413,Yes,0.42,3,Clothing,5,3,No,>=50k,49,Positive,940.3771164,0.25,156,Brand B,1
6,4981.399358,Yes,0.19,9,Home Decor,13.52927149,3,No,>=50k,5,Neutral,1185.182618,0.26,148,Mixed,1
0,4344.210567,Yes,0.28,8,Home Decor,14.94752252,1,No,<50k,13,Positive,1452.914569,0.82,111,Brand B,1
0,5310.381368,Yes,0.51,5,Home Decor,5.869492399,0,No,>=50k,48,Positive,333.5825411,0.46,138,Mixed,1
19,6650.196529,Yes,0.53,7,Groceries,19.11691965,4,No,>=50k,17,Neutral,581.3706317,0.72,9,Brand A,1
12,3265.739569,Yes,0.81,3,Electronics,14.19814257,3,No,>=50k,9,Positive,1146.820505,0.65,34,Brand A,1
8,3683.767022,Yes,0.79,1,Electronics,21.07356046,1,No,<50k,22,Positive,980.5661442,0.31,153,Brand C,1
2,4392.547942,No,0.58,1,Electronics,11.58169791,4,No,<50k,17,Positive,1395.990747,0.21,122,Mixed,1
6,2308.258153,No,0.78,2,Groceries,21.18210391,2,No,>=50k,3,Neutral,663.7579535,0.13,113,Mixed,1
5,3361.484281,Yes,0.19,8,Groceries,12.75484549,0,No,<50k,31,Negative,1631.976456,0.02,171,Brand B,1
7,4047.558253,No,0.05,1,Clothing,14.74857416,3,No,>=50k,46,Positive,741.4231181,0.08,131,Brand A,1
8,6748.778361,No,0.87,5,Home Decor,16.07807621,0,Yes,<50k,5,Negative,841.3772738,0.26,73,Brand B,0
4,5525.122658,Yes,0.08,9,Electronics,14.79169116,3,Yes,<50k,25,Neutral,1547.423613,0.71,38,Brand A,0
0,5387.179823,Yes,0.25,9,Electronics,16.52178381,3,Yes,<50k,5,Positive,1285.588444,0.15,168,Brand B,1
18,6701.795924,No,0.7,2,Home Decor,5.377257796,3,Yes,>=50k,34,Negative,1991.059943,0.52,93,Brand A,1
9,4725.256423,No,0.41,7,Electronics,14.30306127,0,Yes,<50k,40,Positive,1474.430442,0.25,66,Brand B,1
11,5780.9297,No,0.88,1,Clothing,14.59789051,2,No,<50k,42,Negative,1644.987024,0.51,88,Mixed,1
14,4793.556494,No,0.3,3,Home Decor,5.067595665,1,Yes,<50k,4,Negative,851.5563507,0.75,101,Brand A,1
8,5530.724699,No,0.01,6,Home Decor,18.21235188,1,Yes,<50k,13,Neutral,1651.713334,0.27,105,Brand B,1
19,3834.482685,Yes,0.3,9,Clothing,10.44323299,2,No,<50k,1,Negative,1034.459582,0.35,35,Brand A,1
16,500,Yes,0.58,2,Home Decor,19.71164612,2,Yes,<50k,39,Negative,100,0.72,3,Brand A,1
16,4731.441676,Yes,0.38,7,Clothing,15.4297583,3,No,>=50k,12,Positive,1237.172477,0.55,73,Brand B,1
19,7845.496272,Yes,0.53,4,Electronics,12.12859061,3,Yes,<50k,4,Positive,1280.101933,0.09,12,Brand A,1
11,6852.430804,No,0.88,2,Home Decor,20.02346029,1,Yes,<50k,46,Negative,454.1215089,0.76,69,Mixed,0
6,6930.794969,Yes,0.91,3,Electronics,23.30933527,3,No,<50k,35,Positive,1179.813897,0.28,6,Brand B,1
1,7472.261444,No,0.27,6,Electronics,15.19253367,3,No,>=50k,35,Positive,1057.759309,0.39,155,Brand A,1
2,5177.315182,Yes,0.46,9,Clothing,21.87443046,2,No,<50k,49,Positive,1606.447454,0.25,121,Brand B,1
16,5394.631415,Yes,0.55,8,Groceries,14.11936698,0,Yes,<50k,18,Positive,1219.161793,0.54,36,Brand A,1
4,3764.696209,Yes,0.95,9,Electronics,19.81160929,4,Yes,<50k,19,Positive,1000.228778,0.71,142,Brand A,1
16,4367.854288,Yes,1,4,Electronics,13.16261399,4,No,>=50k,21,Neutral,334.4716685,0.8,29,Brand A,1
16,6231.5423,No,0.24,4,Electronics,24.1294589,3,Yes,<50k,30,Positive,100,0.92,103,Brand A,1
16,7407.768874,No,0.73,9,Clothing,20.38653645,3,Yes,<50k,40,Negative,1632.802109,0.36,73,Brand C,1
1,4721.107449,No,0.38,8,Clothing,17.35172371,4,Yes,>=50k,46,Positive,1197.06093,0.93,11,Brand C,1
1,4099.62147,Yes,0.01,2,Electronics,5,2,No,<50k,43,Neutral,879.863584,0.62,80,Brand B,1
4,5001.055918,Yes,0.01,8,Groceries,17.24408321,4,No,<50k,3,Positive,1277.285588,0.39,111,Brand C,1
0,6202.413498,Yes,0.46,1,Home Decor,8.825335172,4,Yes,<50k,2,Neutral,881.4354477,0.89,29,Brand B,0
0,2112.290368,Yes,0.49,9,Home Decor,16.76626504,4,Yes,<50k,36,Positive,100,0.58,128,Brand A,1
18,500,No,0.02,9,Clothing,21.38749594,3,No,>=50k,24,Negative,1506.561589,0.45,35,Brand B,1
1,3898.926301,No,0.69,8,Clothing,18.44498484,3,Yes,<50k,48,Positive,1570.383922,0.01,122,Brand B,0
11,2558.575148,No,0.29,5,Clothing,19.29356203,4,No,<50k,36,Neutral,835.6587811,0.72,87,Brand A,1
5,3983.719605,Yes,0.56,5,Clothing,13.13488275,3,No,<50k,3,Positive,979.2031549,0.08,20,Brand C,1
3,4704.439362,No,0.3,3,Electronics,7.376996444,4,No,<50k,38,Positive,693.456521,0.29,105,Brand C,1
10,4093.503182,Yes,0.17,5,Home Decor,11.14276421,2,Yes,>=50k,6,Positive,1922.291769,0.96,31,Mixed,1
16,7904.935069,No,0.41,4,Clothing,13.35131775,3,No,<50k,6,Neutral,1602.043577,0.16,62,Brand A,1
5,5653.489529,Yes,0.23,1,Electronics,14.9296969,0,Yes,>=50k,48,Positive,593.9058849,0.31,140,Brand A,1
4,5600.948719,Yes,0.53,9,Electronics,21.34563982,3,Yes,<50k,24,Negative,1302.5157,0.93,164,Brand A,1
19,6244.414288,Yes,0.2,4,Electronics,18.65288935,2,Yes,<50k,14,Neutral,561.4620306,0.34,43,Mixed,0
1,2722.333764,No,0.51,3,Groceries,26.09862611,2,Yes,<50k,6,Positive,593.5670685,0.33,148,Brand C,0
5,7078.223575,Yes,0.16,6,Electronics,9.993563362,3,Yes,<50k,46,Neutral,778.5620199,0.65,145,Mixed,1
10,4848.471427,Yes,0.67,1,Groceries,20.81983912,1,No,<50k,3,Positive,696.0669895,0.13,45,Brand B,1
15,6340.961234,No,0.75,5,Clothing,19.37678039,4,Yes,<50k,33,Neutral,220.440911,0.97,174,Brand B,1
15,2856.285534,Yes,0.11,7,Groceries,14.41718922,4,No,<50k,44,Neutral,1663.223364,0.28,153,Brand A,1
0,1892.482468,Yes,0.47,2,Clothing,10.19516981,2,Yes,<50k,43,Neutral,1105.61395,0.79,4,Mixed,1
8,6635.779316,Yes,0.07,9,Groceries,11.92260415,3,Yes,>=50k,41,Positive,1776.941886,0.29,132,Mixed,0
5,5752.819052,Yes,0.6,6,Electronics,11.68221898,1,Yes,<50k,18,Neutral,916.8778659,0.28,30,Brand B,0
15,3195.896891,No,0.26,2,Clothing,23.55333871,0,No,>=50k,46,Positive,266.1745231,0.06,155,Brand B,1
2,3260.673837,No,0.53,8,Electronics,19.14125229,4,No,<50k,48,Positive,1512.700319,0.12,76,Brand C,0
19,7250.869569,Yes,0.52,8,Clothing,19.32828141,1,No,<50k,37,Positive,1130.723299,0.52,74,Brand A,1
3,2621.176214,No,0.92,1,Clothing,15.43836825,4,No,<50k,26,Positive,867.2668419,0.58,126,Mixed,0
18,8285.345907,Yes,0.55,1,Home Decor,13.85601991,3,Yes,>=50k,4,Neutral,1602.493088,0.82,12,Brand B,0
2,3198.758531,Yes,0.58,1,Clothing,16.68667899,4,Yes,>=50k,12,Positive,328.4131154,0.06,121,Brand B,1
18,6276.783851,Yes,0.4,4,Electronics,15.5123268,0,No,>=50k,45,Neutral,1490.501917,0.36,145,Brand C,1
19,4342.763049,Yes,0.95,4,Home Decor,14.51985152,3,No,<50k,13,Negative,1359.020242,0.2,151,Brand C,1
6,6206.374862,Yes,0.78,8,Clothing,16.83344438,2,Yes,>=50k,29,Neutral,1115.677699,0.36,156,Brand A,0
19,3911.771996,No,0.29,1,Electronics,9.670583294,1,Yes,>=50k,46,Neutral,261.0118087,0.35,155,Mixed,1
8,4674.414188,No,0.84,3,Groceries,16.33504763,4,No,>=50k,47,Neutral,1469.023584,0.35,101,Mixed,1
0,5081.838351,Yes,0.43,1,Groceries,14.44600024,3,No,>=50k,9,Positive,1372.088619,0.31,172,Brand B,1
7,2995.625088,Yes,0.83,9,Groceries,11.42691871,3,No,<50k,31,Negative,1133.020414,0.76,116,Brand B,1
6,6481.648691,No,0.82,9,Groceries,18.20313634,4,Yes,<50k,0,Positive,972.7099539,0.69,83,Brand B,1
17,3973.572867,No,0.19,7,Electronics,23.97591345,2,No,<50k,23,Positive,435.7112947,0.34,10,Brand B,0
7,4542.800169,No,0.7,8,Groceries,21.39034856,4,Yes,<50k,28,Positive,439.9865471,0.15,50,Mixed,1
0,3011.301251,Yes,0.29,1,Clothing,13.58692532,2,Yes,<50k,42,Negative,612.3742371,0.52,58,Brand A,0
10,500,No,0.3,5,Electronics,18.3219874,4,Yes,<50k,6,Positive,212.3429841,0.92,83,Brand A,0
17,4617.944475,Yes,0.3,2,Groceries,19.21693407,3,Yes,<50k,30,Positive,228.9897063,0.12,104,Mixed,0
9,9825.230843,Yes,0.73,1,Electronics,15.59585881,0,No,<50k,16,Positive,778.1133645,0.75,12,Brand A,0
2,6569.208576,Yes,0.23,3,Clothing,14.88002598,0,No,>=50k,29,Positive,333.3215695,0.6,46,Brand C,1
6,4961.479241,Yes,0,7,Electronics,16.71879714,3,No,<50k,24,Negative,883.7767969,0.59,87,Brand A,1
15,4474.218342,Yes,0.72,1,Clothing,27.56289417,0,Yes,<50k,27,Negative,1032.77206,0.93,170,Mixed,1
