balance,balance_frequency,purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,credit_limit,payments,prc_full_payment,tenure
2386.33,1,2799.9,428.53,0,0.92,0.82,0.5,7500,4250.02,0.08,12
3971.14,1,0,0,224.58,0,0,0,4000,764.94,0,12
5040.84,1,229,229,970.59,0.42,0,0.33,6000,2110.56,0,12
1879.11,0.78,113,0,0,0.17,0.17,0,6500,3509.69,0,12
1555.79,1,66.2,0,0,0.08,0.08,0,1600,338.08,0,12
809.58,0.91,0,0,2830.97,0,0,0,4150,4250.02,0.09,12
1923.89,1,1887.64,1210.37,1605.95,1,0,1,1850,3688.05,0.08,12
1758.06,1,412.33,87.12,0,0.58,0.33,0.17,1800,777.45,0,12
809.85,0.88,0,0,908.42,0,0,0,1500,146.07,0,12
1576.31,1,0,0,382.91,0,0,0,2500,540.02,0,12
3990.52,1,263.5,72.9,0,0.67,0.08,0.58,6000,4250.02,0.08,12
1699.44,1,1363.69,0,0,0.33,0.33,0,1700,1623.82,0,12
5040.84,1,419.1,419.1,625.4,0.92,0,0.83,6250,1288.21,0,12
2990.42,0.91,2799.9,1210.37,2830.97,0.67,0.5,0.58,7000,4250.02,0.43,12
656.01,1,0,0,1474.35,0,0,0,7000,910.46,0.25,12
1808.97,1,713.9,210.82,0,0.5,0.1,0.4,2250,889.02,0,12
532.33,0.91,791.94,275.3,0,0.27,0.09,0.18,6000,1305.18,0,12
5040.84,1,561.87,312.37,0,0.83,0.17,0.75,6000,1990.04,0,12
1727.64,1,606.11,0,0,1,0.82,0,11000,2959.92,0,12
578.81,1,320,320,0,0.75,0,0.67,1500,1438.91,0,12
1205.72,1,0,0,38.33,0,0,0,1200,29.28,0,12
5040.84,1,388.66,0,2830.97,0.58,0.58,0,7000,1624.58,0,12
17.36,0.91,244.85,204.64,0,0.67,0.17,0.58,5000,357.8,0.18,12
81.58,0.78,0,0,2830.97,0,0,0,9500,116.57,0,12
3.79,0.78,133.05,104.85,0,0.42,0.17,0.25,12000,210.05,0.43,12
42.46,0.78,396,396,0,0.5,0,0.42,1200,725.61,0.43,12
1935.36,1,2799.9,400.26,293.84,1,0.82,0.33,9000,4250.02,0,12
134.92,1,1247.8,0,0,1,0.82,0,13850,1275.23,0.43,12
5040.84,1,1603.78,158.64,2830.97,1,0.82,1,11000,4250.02,0,12
5040.84,1,2258.01,939.23,2830.97,1,0.75,1,13500,3021.58,0,12
4037.31,1,45,0,104.24,0.08,0.08,0,4500,1073.84,0,12
5040.84,1,0,0,2717.25,0,0,0,6500,1502.21,0,12
5040.84,1,2799.9,1210.37,370.74,1,0.25,0.92,9000,4250.02,0,12
1977.01,1,1032.04,805.14,2830.97,0.91,0.09,0.82,4000,3056.42,0.09,12
1321.48,1,45.65,0,495.66,0.08,0.08,0,1800,440.84,0,12
1139.78,1,0,0,120.61,0,0,0,1200,151.82,0,12
1619.96,1,739.44,0,0,0.67,0.67,0,6000,417.13,0,12
4.71,0.78,79,79,0,0.25,0,0.17,7000,217.82,0.43,12
4.88,0.78,20,0,0,0.11,0.11,0,1500,26.49,0,12
23.39,0.78,1346.28,1210.37,0,1,0,1,2000,712.15,0,12
3539.8,1,2799.9,1210.37,0,0.92,0.82,0.83,5700,4250.02,0.08,12
862.07,1,0,0,920.31,0,0,0,4000,2236.89,0.08,12
2441.54,1,808,0,959.86,0.25,0.25,0,4000,532.74,0,12
408.66,1,941.64,941.64,0,1,0,1,2500,1097.79,0.08,12
4986.4,1,0,0,2830.97,0,0,0,8000,1241.54,0,12
1246.62,1,423.7,246.06,412.4,0.67,0.17,0.5,2000,577.05,0,12
5040.84,1,2799.9,1210.37,2830.97,1,0.82,1,9000,4250.02,0.08,12
156.22,0.82,1354.86,769.23,0,0.92,0.33,0.83,5500,858.98,0,12
5040.84,1,2799.9,1210.37,2510.35,1,0.25,1,8500,1509.42,0,12
5040.84,1,0,0,2830.97,0,0,0,7000,1277.77,0,12
175.34,0.82,1508.9,256.54,0,0.67,0.42,0.33,5000,1884.23,0.43,12
680.2,1,1045.57,377.62,0,1,0.58,1,3000,552.43,0,12
223.76,0.78,2309.78,1210.37,0,0.58,0,0.5,6500,1206.81,0.33,12
1785.63,1,0,0,576.21,0,0,0,1800,687.69,0,12
54.93,0.78,495,495,0,0.17,0,0.17,7000,1969.85,0.43,12
2662.63,1,0,0,509.02,0,0,0,3000,932.42,0,12
5040.84,1,2799.9,1210.37,1686.6,1,0.82,1,13850,1888.76,0,12
2114.16,1,2799.9,1210.37,0,1,0,1,8500,3564.98,0,12
2876.4,1,0,0,998.85,0,0,0,3200,1065.43,0,12
5040.84,1,0,0,2830.97,0,0,0,13850,3066.61,0,12
2392.92,1,2799.9,0,0,0.92,0.82,0,2800,4250.02,0,12
57.45,0.78,0,0,272.71,0,0,0,1200,385.85,0.17,12
4245.86,1,1957.3,880,0,0.83,0.17,0.58,5000,1004.35,0,12
5040.84,1,150.64,0,2830.97,0.08,0.08,0,13850,2606.06,0,12
4637.85,1,1271.12,919.58,0,0.83,0.25,0.83,5000,1906.03,0,12
24.28,0.78,250.6,250.6,0,0.58,0,0.5,3000,319.76,0,12
5040.84,1,796.33,0,2830.97,0.08,0.08,0,13000,4250.02,0.08,12
231.11,1,440,440,0,0.92,0,0.92,4000,554.12,0,12
1562.63,1,1330.62,160.99,0,0.5,0.17,0.25,2000,1020.78,0,12
2494.87,1,2799.9,1210.37,0,1,0.5,1,13850,1015.31,0,12
706.13,1,897.86,183.34,586.27,0.92,0.33,0.92,1200,972.36,0,12
5040.84,1,2799.9,1210.37,0,1,0.75,1,13850,4250.02,0,12
2235.1,1,720.6,0,723.31,1,0.82,0,2500,1061.29,0,12
947.13,1,197.06,48.4,0,0.33,0.25,0.17,1000,492.2,0,12
764.04,0.82,0,0,1307.1,0,0,0,7500,1566.81,0,12
5040.84,1,2084.48,784,0,0.67,0.42,0.58,13850,3219.62,0,12
2163.68,1,2799.9,1210.37,0,1,0.82,1,6500,4250.02,0,12
3057.4,1,1025,0,0,0.08,0.08,0,7500,698.85,0,12
264.81,1,28.65,0,384.26,0.08,0.08,0,9000,1235.63,0.08,12
1108.22,0.91,944.96,780,0,0.5,0.25,0.42,1500,1955.2,0,12
906.57,1,1039.2,959.2,103.1,0.83,0.08,0.83,13500,1855.24,0.08,12
5040.84,1,2799.9,1210.37,555.47,0.58,0,0.5,7000,3685.61,0,12
1523.91,1,2799.9,753.09,0,1,0.82,1,6500,2254.26,0,12
49.21,1,870.24,870.24,0,1,0,1,8000,835.84,0.43,12
5040.84,1,2799.9,1210.37,2444.45,1,0.75,1,13850,4250.02,0,12
106.46,0.78,2463.12,1210.37,0,1,0.5,1,4000,2573.72,0.43,12
119.76,0.78,1859.34,1210.37,0,0.33,0,0.25,13850,3104.28,0.25,12
1734.51,1,0,0,66.28,0,0,0,1800,363.47,0,12
2765.75,1,2799.9,1210.37,0,1,0.82,0.67,11000,4250.02,0.25,12
1046.37,1,295,0,93.58,0.08,0.08,0,1200,439.41,0,12
2737.37,1,0,0,429.69,0,0,0,3000,778.83,0,12
4014.82,1,0,0,988.36,0,0,0,8500,1009.19,0,12
871.57,1,648.22,533.22,0,1,0.08,1,1200,1110.89,0,12
1610.04,1,557.19,31.55,0,0.25,0.08,0.17,4000,422.71,0,12
114.59,1,469.98,469.98,0,1,0,0.83,1000,367.11,0.43,12
5040.84,1,0,0,369.95,0,0,0,6500,1346.37,0,12
823.1,0.78,131.64,131.64,0,1,0,1,8000,2916.07,0,12
595.68,1,2799.9,747.61,1424.44,0.92,0.67,0.75,13850,4250.02,0.43,12
1128.12,1,924.6,924.6,0,1,0,1,1000,1202.71,0,12
349.44,1,1975.4,581.9,0,0.67,0.42,0.33,4000,1795.01,0,12
840.8,0.78,0,0,2830.97,0,0,0,4000,3621.27,0,12
975.94,1,2799.9,1210.37,1620.69,1,0.82,0.83,10500,4250.02,0.43,12
23.11,0.78,300,300,0,0.25,0,0.17,12500,291.95,0.18,12
2187.73,0.86,0,0,2830.97,0,0,0,3000,1423.79,0.2,12
5040.84,1,2799.9,1029.46,1626.35,1,0.82,1,13850,4250.02,0,12
1608.45,1,0,0,205.74,0,0,0,1800,470.57,0,12
2933.24,1,0,0,2040.43,0,0,0,3000,2431.58,0,12
336.8,1,2799.9,1210.37,0,1,0.42,0.92,13850,2814.23,0.43,12
36.24,0.78,256.11,256.11,0,0.42,0,0.42,5300,831.38,0.17,12
903.3,1,2697.48,1210.37,0,1,0.33,1,2500,1686.2,0,12
2881.25,1,117,117,2830.97,0.25,0,0.17,4500,4250.02,0.17,12
117.44,1,653.73,160.73,0,0.67,0.42,0.42,10000,441.59,0,12
168.52,0.82,2009.05,1210.37,0,0.83,0,0.75,1200,2612.76,0.14,12
1706.01,1,147.78,147.78,1657.09,0.17,0,0.17,6000,1186.06,0,12
874.58,1,516.54,357.47,0,1,0.33,0.92,900,579.75,0,12
966.25,1,311.45,0,955.96,0.33,0.33,0,1500,277.52,0,12
38.62,0.78,280.4,0,0,0.25,0.25,0,6150,254.39,0.09,12
40.42,0.78,79.2,0,1631.58,0.08,0.08,0,4000,1647.88,0.08,12
5040.84,1,1453.32,1210.37,0,0.5,0,0.5,13850,1382.27,0,12
3983.92,1,756.54,0,0,0.5,0.5,0,4000,1110.87,0,12
5040.84,1,2799.9,1210.37,0,0.92,0.17,0.83,11500,1412.6,0,12
281.17,0.82,2799.9,1210.37,0,0.75,0.08,0.67,8000,2422.91,0.43,12
130.25,0.91,1343.19,260.4,0,1,0.82,0.58,13850,1043.56,0.43,12
1973.81,1,873,0,0,0.17,0.17,0,8000,541.72,0,12
5040.84,1,47.55,47.55,2039.53,0.17,0,0.17,6000,2976.58,0,12
43.1,0.78,370,0,0,0.17,0.17,0,13850,1212.05,0,12
566.55,0.91,405.75,92,1044.65,0.5,0.17,0.42,2000,1249.84,0,12
24.53,0.91,261.64,261.64,0,0.83,0,0.83,4000,376.76,0.43,12
5040.84,1,1989.28,1146.48,893.76,0.33,0.17,0.17,13850,4250.02,0,12
4559.78,1,2799.9,1210.37,0,1,0.67,1,7500,4250.02,0,12
2.68,0.78,43.39,43.39,0,0.08,0,0.08,4000,130.11,0.09,12
1570.68,1,645.32,0,1665.33,0.17,0.17,0,1800,2591.39,0,12
5040.84,1,987.1,125,2830.97,0.33,0.33,0.08,10500,1941.54,0,12
5040.84,1,1464.14,485.43,2830.97,0.83,0.58,0.67,11500,1658.56,0,12
64.08,0.78,927,327,0,0.25,0.08,0.17,5000,1260.16,0.22,12
5040.84,1,393.62,239.9,2830.97,0.92,0.82,0.17,10000,1919.63,0,12
3670.51,1,965.5,89.37,0,0.5,0.5,0.08,7500,1034.93,0,12
2458.38,0.82,0,0,102.28,0,0,0,7500,4250.02,0,12
768,1,336.41,0,0,0.75,0.75,0,6000,947.7,0,12
75.65,0.78,540,540,0,0.25,0,0.17,4000,548.97,0,12
1121.73,1,878.52,775.42,197.65,1,0.17,0.92,1500,542.84,0,12
7.57,0.78,144.26,77.18,0,0.33,0.08,0.17,11500,134.71,0.11,12
2053.44,1,493.85,52.5,1738.33,0.5,0.33,0.25,2000,2795.06,0,12
2422.31,1,2799.9,1034.44,188.78,1,0.82,1,8500,4250.02,0,12
5040.84,1,2799.9,1210.37,0,1,0.75,1,10000,4250.02,0,12
3061.21,1,1829.2,36.5,0,1,0.82,0.08,7000,971.23,0,12
41.64,0.86,75.99,0,0,0.14,0.14,0,2700,69.16,0,12
5040.84,1,1824.16,225.6,0,1,0.82,0.75,13850,1508.02,0,12
5040.84,1,2799.9,0,0,0.33,0.33,0,8500,4250.02,0,12
28.46,1,100,0,0,0.08,0.08,0,4000,125.77,0,12
4178.63,1,1431.89,1001.2,0,1,0.42,0.83,4000,2384.54,0,12
3019.02,1,2260.41,904.08,0,0.83,0.42,0.75,8500,2187.93,0,12
1.05,0.78,0,0,466.64,0,0,0,1200,1068.58,0.43,12
2723.37,0.91,2799.9,1210.37,0,0.75,0.67,0.58,13850,4250.02,0.36,12
1071,1,990.7,508.7,0,0.75,0.25,0.58,1400,505.32,0,12
279.61,1,2799.9,1210.37,0,1,0,1,2900,2928.91,0.08,12
1255.9,1,1038.81,0,1092.63,0.92,0.82,0,5700,1215.45,0,12
2229.86,1,45.65,0,0,0.08,0.08,0,2500,542.75,0,12
2363.49,1,2641.98,1210.37,263.88,0.83,0.67,0.75,3000,1839.93,0,12
5040.84,1,300,300,2800.73,0.5,0,0.42,12000,1975.97,0,12
3421.57,1,126.69,83.81,154.34,0.33,0.08,0.25,10500,2515.44,0,12
48.9,0.78,247.09,247.09,182.36,0.5,0,0.42,5500,409.59,0,12
1874.72,1,301.1,218.1,0,0.58,0.17,0.33,1950,586.97,0,12
237.24,0.78,2410.07,739.57,0,0.5,0.08,0.33,4000,3773.73,0.43,12
1272.93,1,2799.9,566.85,0,1,0.82,0.92,8000,4250.02,0.17,12
558.48,1,630.03,0,0,0.09,0.09,0,5500,426.09,0,12
2814.21,1,2799.9,1117.22,0,1,0.67,1,3000,3574.48,0,12
8.06,0.78,133,133,0,0.25,0,0.17,3000,130.61,0.18,12
435.86,1,1646.16,622.74,0,1,0.58,0.75,12000,1055.84,0,12
6.39,1,79.66,79.66,0,1,0,1,1500,75.9,0,12
5040.84,1,319.92,319.92,2830.97,1,0,1,12000,4250.02,0,12
5040.84,1,2799.9,133.79,0,1,0.82,0.5,12500,2657.86,0,12
2344.48,1,1041.63,0,2830.97,0.25,0.25,0,4000,3033.67,0,12
996.48,1,675.96,675.96,0,1,0,1,1000,1851.6,0.08,12
19.51,1,193.14,193.14,0,0.42,0,0.42,2000,220.46,0.25,12
185.64,1,1703.23,0,0,1,0.82,0,11500,1449.04,0.43,12
5040.84,1,0,0,468.96,0,0,0,6000,1350.32,0,12
22.19,0.78,234.16,234.16,0,0.36,0,0.27,1500,479.91,0.43,12
5.87,0.82,29.68,0,0,0.08,0.08,0,10000,76.94,0,12
1049.5,1,1322.67,225.96,774.26,0.83,0.75,0.42,11000,802.39,0,12
5040.84,1,1607.88,1210.37,0,1,0,1,13500,1583.41,0,12
1668.59,1,0,0,1716.94,0,0,0,1800,2166.98,0.08,12
2224.59,0.82,2799.9,0,0,0.17,0.17,0,9000,3823.35,0,12
2903.78,1,2799.9,1210.37,103.61,1,0.82,1,4500,1350.37,0,12
2041.48,1,2799.9,1210.37,191.33,1,0.82,0.75,3000,3792.1,0.08,12
5040.84,1,2799.9,1210.37,2830.97,1,0.5,0.83,10000,4250.02,0,12
614.26,0.78,408.93,334.13,0,0.5,0.08,0.5,9000,2161.15,0,12
5040.84,1,2799.9,1210.37,0,1,0.08,1,7500,4250.02,0,12
1082.33,1,2799.9,1210.37,0,1,0.5,1,6000,1116.97,0,12
2734.66,1,560.73,0,0,0.92,0.82,0,7500,717.8,0,12
80.71,1,569.9,0,0,0.17,0.17,0,9500,634,0.08,12
2554.53,1,2799.9,87.69,1898.69,0.92,0.75,0.25,10950,4250.02,0.08,12
535.95,1,2799.9,1210.37,438.47,1,0.82,1,8500,4250.02,0.43,12
3905.37,1,150.8,0,1659.2,0.17,0.17,0,7500,990.52,0,12
156.28,1,1385.1,380,0,1,0.5,0.75,13850,1280.47,0.43,12
5040.84,1,2799.9,1210.37,0,1,0.82,1,11500,4250.02,0.08,12
5040.84,1,410.24,365.53,2830.97,0.92,0.08,0.92,13850,4250.02,0.08,12
2.56,0.78,47.95,0,0,0.08,0.08,0,1500,294.51,0,12
1873.08,1,126.57,0,181.14,0.25,0.25,0,2100,483.56,0,12
1473.5,1,414,414,0,0.75,0,0.67,10500,4250.02,0.43,12
1504.83,1,2010,1210.37,1189.29,1,0.17,1,8500,859.83,0,12
5040.84,1,2799.9,360.5,0,0.5,0.42,0.33,13500,4250.02,0,12
1129.34,1,498.96,498.96,72.26,1,0,1,1000,829.51,0,12
668.96,1,224.2,76.08,0,0.58,0.08,0.42,9500,568.34,0,12
2302.18,1,2799.9,1210.37,0,1,0.25,1,2500,2914.42,0,12
272.71,0.82,0,0,682.16,0,0,0,3000,2755.88,0.18,12
4246.43,1,0,0,2830.97,0,0,0,7000,4250.02,0.08,12
2420.76,1,0,0,567.23,0,0,0,3000,871.71,0,12
2935.32,1,409.63,57.76,1876.24,0.58,0.58,0.08,5000,580.14,0,12
83.15,0.78,843.34,0,0,0.5,0.5,0,6500,1024.27,0.43,12
5040.84,1,0,0,512.79,0,0,0,6000,1362.97,0,12
280.14,1,2236.49,1210.37,0,1,0.82,0.67,10000,1986.84,0.43,12
5040.84,1,464.51,65.1,2516.73,0.42,0.25,0.17,6000,1515.59,0,12
3605.71,1,1779,0,0,0.17,0.17,0,5000,856.06,0,12
3992.26,1,0,0,348.83,0,0,0,4000,1057.68,0,12
41.83,1,456.36,456.36,0,1,0,0.92,6000,371,0.33,12
635.09,0.82,2799.9,1210.37,0,0.75,0.25,0.75,2900,4250.02,0.43,12
1521.17,1,245.98,0,2792.68,0.17,0.17,0,6000,2261.52,0,12
5040.84,1,0,0,2830.97,0,0,0,12000,1786.14,0,12
2503.11,1,733.9,0,0,1,0.82,0,3000,1620.19,0,12
191.45,1,1641.07,0,380.97,0.67,0.67,0,500,1583.92,0.43,12
3621.7,1,674.73,0,1684.96,0.25,0.25,0,4000,1139.06,0,12
2762.48,1,2702.47,1176.16,0,1,0.25,1,11000,4250.02,0.08,12
4338.61,1,0,0,1817.57,0,0,0,8000,4250.02,0,12
388.87,0.78,1579.15,116.8,0,0.58,0.5,0.25,2700,451.6,0,12
5040.84,1,0,0,2830.97,0,0,0,11000,1933.41,0,12
208.13,1,2161.38,1210.37,0,1,0.17,1,4500,2059.88,0.43,12
169.09,1,1482.19,1036.12,0,1,0.58,0.67,6000,1289.57,0.43,12
133.91,1,1446.05,901.6,0,1,0.08,1,3500,1364.12,0.43,12
1613.35,0.91,0,0,1606.32,0,0,0,4500,312.43,0,12
53.21,1,498.17,39.15,0,0.92,0.82,0.08,13850,611.61,0.43,12
1329.97,1,2009.12,712.44,1763.79,1,0.82,1,2500,2715.97,0,12
927.04,1,0,0,402.97,0,0,0,1000,719.97,0,12
1872.77,1,0,0,2830.97,0,0,0,5500,1151.72,0,12
185.4,1,0,0,842.46,0,0,0,1000,117.54,0,12
4823.82,0.86,0,0,2830.97,0,0,0,7000,863.62,0,12
994.11,1,126.2,0,0,0.83,0.82,0,1950,314.3,0,12
40.09,1,225,225,0,1,0,1,1500,325.58,0.17,12
4732.37,1,14.95,14.95,2173.36,0.08,0,0.08,5700,1289.28,0,12
5040.84,1,874.98,524.98,2830.97,0.75,0.08,0.67,12500,2055.1,0,12
5040.84,1,0,0,2443.26,0,0,0,7500,1493.09,0,12
2233.07,1,445.2,0,0,0.17,0.17,0,8000,1042.99,0,12
1867.65,1,0,0,2830.97,0,0,0,4500,476.16,0,12
57.84,1,689.34,689.34,0,1,0,1,1500,453.84,0.33,12
4194.03,0.78,2006.87,1210.37,0,0.67,0.08,0.67,13850,4250.02,0.1,12
2459.86,1,678,0,927.25,1,0.82,0,2500,1926.32,0,12
850.63,1,0.05,0,1700.63,0.08,0.08,0,1000,1084.28,0,12
353.2,1,2799.9,52.72,0,1,0.82,0.08,8500,2690.53,0.43,12
2669.16,1,0,0,142.14,0,0,0,3000,642.78,0,12
92.44,0.91,1080,0,0,0.75,0.75,0,6000,1077.06,0.43,12
706.68,1,2721.16,303.75,0,1,0.5,1,6500,4250.02,0.08,12
361.32,1,2799.9,1210.37,0,1,0.82,0.83,13850,4003.78,0.43,12
2324.09,0.91,0,0,1600.76,0,0,0,2300,2147.89,0,12
2922.49,1,71.07,71.07,2830.97,0.25,0,0.17,9500,4250.02,0,12
98.36,0.78,65,65,0,0.17,0,0.17,1200,718.79,0,12
498.21,1,2799.9,388.97,0,0.92,0.82,0.5,9000,3805.67,0.43,12
16.93,0.78,174.42,174.42,0,0.33,0,0.25,2500,347.09,0.43,12
3355.63,1,242.88,242.88,0,1,0,1,13500,4250.02,0.09,12
907.98,1,216.94,0,1012,0.17,0.17,0,3200,222.02,0,12
1132.39,0.78,2246.3,0,2830.97,0.33,0.33,0,6000,4250.02,0.43,12
1254.67,1,361.73,0,198.69,0.17,0.17,0,1500,535.61,0,12
80.34,0.78,330,0,0,0.1,0.1,0,1800,345.33,0,12
260.84,1,2799.9,1056.15,0,1,0.82,0.92,9500,2437.33,0.43,12
17.36,0.78,390,300,0,0.5,0.08,0.5,2000,302.45,0,12
1897.67,1,422.18,0,0,1,0.82,0,5500,2961.63,0,12
1032.24,1,1005.52,541.02,0,1,0.5,0.83,3000,1866.27,0,12
3536.6,1,2132.93,1173.83,2830.97,1,0.33,1,11000,4250.02,0,12
21.58,0.91,284.72,284.72,0,0.67,0,0.67,5000,344.16,0.43,12
4211.54,1,0,0,455.58,0,0,0,10500,1288.29,0,12
1732.72,1,2799.9,763.31,0,1,0.67,0.5,11500,4250.02,0,12
5040.84,1,2490.17,1210.37,2830.97,0.5,0.17,0.42,9500,3957.02,0,12
41.75,0.78,636.15,0,0,0.17,0.17,0,8500,918.41,0.18,12
1937.25,1,2799.9,1210.37,0,1,0.82,1,5000,3909.84,0.17,12
99.96,1,1222.97,1020,0,1,0.25,1,13850,1142.08,0.43,12
5040.84,1,110.18,110.18,2830.97,0.33,0,0.33,6000,1717,0,12
214.9,0.78,0,0,1192.02,0,0,0,3000,2298.9,0.2,12
1543.29,1,0,0,36.48,0,0,0,1800,548.59,0,12
601.92,1,983.77,380,0,0.67,0.42,0.25,2400,389.41,0,12
1261.06,1,0,0,474.43,0,0,0,1500,866.87,0,12
85.29,0.78,423.24,136.24,0,0.62,0.38,0.38,11000,296.02,0,12
1903.69,1,2799.9,1210.37,2830.97,0.92,0.25,0.67,7300,4250.02,0.42,12
813.07,1,439.38,0,727.66,0.08,0.08,0,1200,238,0,12
1279.33,1,1207.25,1207.25,0,1,0,1,1200,1282.71,0,12
237.67,1,259.13,0,0,0.08,0.08,0,2300,2680.64,0.25,12
5040.84,1,1627.69,1210.37,0,1,0,1,5500,2507.7,0,12
5040.84,1,0,0,2830.97,0,0,0,8000,2845.01,0,12
5040.84,1,0,0,2830.97,0,0,0,8000,4250.02,0.08,12
426.37,1,2799.9,310,0,1,0.82,0.25,12000,4250.02,0.43,12
5040.84,1,1490.94,1210.37,2813.06,1,0.17,1,9000,2116.66,0,12
1128.23,1,2799.9,1210.37,0,1,0.82,1,4500,3904.57,0.08,12
2045.54,1,1067.28,1067.28,0,1,0,1,2000,2021.78,0,12
8.52,0.78,64.12,0,0,0.17,0.17,0,7000,176.6,0,12
5040.84,1,2799.9,1210.37,0,0.92,0.75,0.83,13850,4250.02,0,12
143.44,0.78,1631,1210.37,0,0.58,0,0.58,2500,2550.8,0.43,12
241.22,0.91,180.91,0,0,0.17,0.17,0,1400,802.86,0,12
1528.57,1,0,0,172.93,0,0,0,1600,353.58,0,12
5040.84,1,136.88,136.88,515.15,0.17,0,0.17,13850,3519.01,0,12
566.15,1,0,0,187.57,0,0,0,2000,1177.66,0,12
1077.61,0.78,343.21,0,1609.9,0.25,0.25,0,1500,930.33,0,12
1.84,0.78,16.5,0,0,0.08,0.08,0,6000,57.6,0,12
507.14,1,2799.9,1123.4,0,1,0.75,0.75,4000,4250.02,0.43,12
816.82,0.78,42.3,0,2830.97,0.1,0.1,0,6000,361.85,0,12
1526.51,1,46.67,0,0,0.08,0.08,0,1800,338.41,0,12
5040.84,1,0,0,2830.97,0,0,0,9000,677.14,0,12
79.19,1,699.12,699.12,0,1,0,1,2500,697.98,0.43,12
497.91,1,245.39,245.39,0,0.58,0,0.5,4000,328.8,0,12
681.96,1,98,0,0,0.17,0.17,0,4000,192.37,0,12
